Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
PE-1.2 Taller Entrevistas y Prototipo,Entrevista y extracción de requerimientos,Define usuario objetivo crea guion con 5 preguntas (2 cerradas 3 abiertas) realiza entrevista y extrae 3 RF y 2 RNF justificados.,false,Excelente,Usuario bien definido 5 preguntas apropiadas entrevista completa y 3 RF + 2 RNF claros con justificación sólida.,0.8,Bueno,Usuario definido 5 preguntas adecuadas entrevista completa pero RF/RNF con justificaciones superficiales.,0.53,Insuficiente,Usuario vago menos de 5 preguntas entrevista incompleta o RF/RNF sin justificación.,0.27
PE-1.2 Taller Entrevistas y Prototipo,Prototipo de baja fidelidad,Crea prototipo de 1-2 pantallas que refleja al menos 2 RF identificados en la entrevista.,false,Excelente,Prototipo de 2 pantallas claro que refleja 2+ RF con coherencia visual y funcional.,0.8,Bueno,Prototipo de 1-2 pantallas que refleja 1-2 RF con coherencia básica.,0.53,Insuficiente,Prototipo incompleto o no refleja los RF identificados.,0.27
PE-1.2 Taller Entrevistas y Prototipo,Criterios de aceptación,Define 2 criterios de aceptación para 1 RF crítico usando formato simple y medible.,false,Excelente,2 criterios de aceptación claros medibles y específicos para el RF seleccionado.,0.4,Bueno,2 criterios de aceptación pero con redacción poco específica o difícil de medir.,0.27,Insuficiente,Menos de 2 criterios o criterios vagos sin formato medible.,0.13
